review,sentiment,timestamp_created,voted_up,game_id
"e bom demais man slk
",0.0,1752881016,True,730
РЕКОМЕНДУЮ,0.0,1752880979,True,730
Esperando até hoje o VAC funcionar.,0.0,1752880953,True,730
后来某天，我打开steam，找到了一款名叫csgo的游戏，才发现时间已经过去了很久，直到25年7.18我才买到了海豹短刀，却再也找不回那年夏天的感觉,0.0,1752880713,True,730
"My old account has around 3000 hours in CSGO/CS2. I am a seasoned player, but I play exclusively premier matchmaking with my friends around 16,000 rating. I was not prepared for what was waiting for me when switching to my new account.

3 games of death match to unlock competitive game play. No biggie. Took 30 minutes. Then, I realised I need rank 10 to play premier matchmaking. 60 hours later it's done. It has been the worst experience in my entire time playing CSGO/CS2 - ever. Around 40 games with people going AFK, leaving the first round, trolling, being more useless than easy CSGO bots (!!!) and killing team mates for no reason. Mind you, I won MOST of my games since I am in fact playing against retards. But no matter if I lost or won, it was NEVER fun. It's just a chore that had to be done to be able to play against real players with my friends. 

If you're changing accounts, like me - sure: it can be done. But don't expect much. Relax with a few bottles of wine each session and put on a movie in the background. Otherwise, it would simply not be tolerable. If you are a new player, I seriously urge you to consider what you have to do to play the ""real"" CS2. CS2 is free, but you need to pay for Premier match making. 13€ seems cheap, but I would rather drag my dick through glass and eat the shards than do this again.

Why not improve the Anti Cheat instead of putting Premier behind such a wall?  We will never know.",0.004524936868686872,1752880516,False,730
porno,0.0,1752878885,True,578080
muy buen juego,0.0,1752878277,True,578080
legal,0.2,1752878167,True,578080
수익에 비해 재투자를 끔찍하게도 안하는 느낌,0.0,1752876861,False,578080
"Its more fun now then when it released, especially with friends. Hitreg is a lot better, feels faster and less laggy. Fun emotes and skins. Also more loot everywhere so its not loot hunt simulator anymore.",0.2761904761904762,1752874829,True,578080
好玩,0.0,1752881261,True,1174180
good,0.7,1752881138,True,1174180
"Eu estou com 55% da historia total completa, e sinceramente estou amando o jogo, é algo incrivel que provavelmente não vou experienciar com outro jogo nem tão cedo, ele tem uma mecanica simples de aprender, bem similar com o primeiro game, e também não é enjoativo, com vários eventos aleatórios, com vários eventos acontecendo durante o game, oque faz o cavalgar de cavalo desse game, ser delicioso, eu até agora não usei viagem rapida apenas para ver os eventos, não sei o quão perto estou de zerar, estou no capitulo 5, esse jogo é incrivel, recomendo pra cada pessoa, apenas joguem!!!",-0.31625000000000003,1752881077,True,1174180
completed 100% what a game,-0.4,1752881069,True,1174180
TAHITI,0.0,1752880029,True,1174180
WOW,0.1,1733768077,True,1665460
juego que se basa en pagar y pagar y pagar para tener los mejores jugadores. Han quitado toda la esencia de lo que era el ProEvolution. Ya ni tiene algo tan simple como tener varias tacticas grabada. Konami te has lucido y no tiene pinta de que vaya a mejorar en nada. Bueno pues despues de mas de 20 años de jugar a esto. ADIOS Y AHI OS QUEDAIS CON VUESTRA ESTAFA.,0.0,1732343803,False,1665460
"paid for the pre order, worst gameplay, now missing from my steam game library, check the store and become Free to Play, what a waste of money, is it even possible to get refund from this useless game?",-0.28750000000000003,1649997113,False,1665460
一直未升级，无法进入游戏，卸载后就无法安装了？,0.0,1649955063,False,1665460
so nice,0.6,1649937694,True,1665460
Excelente simulador de camiones.,0.0,1752880552,True,227300
"fdfsad


ü",0.0,1752880313,True,227300
mukkemel,0.0,1752879791,True,227300
i like it,0.0,1752879652,True,227300
ㅇㄴ 그냥 노래틀고 하다 보면 너무 행보케여:::),0.5,1752879009,True,227300
yeah its peak,0.0,1752881232,True,3527290
fun,0.3,1752881227,True,3527290
this game is peak,-0.4,1752881210,True,3527290
Очень хорошая игра которая поощрает тебя когда ты бросил своих друзей,0.0,1752881202,True,3527290
el creador tenia algun problemita mental  cuando diseño los controles como siempre los mods salvan esta basura de juego,-0.1,1752881150,False,3527290
"— Вот те раз! — подумала Охотница, когда на карте МакМиланна ей на голову упала шестерня. 
— Вот те два! — подумал Дуайт и бросил вторую шестерню.
Генераторы не завёл никто.",0.0,1752881329,True,381210
ك,0.0,1752881300,True,381210
I mean it's alright,-0.3125,1752881268,True,381210
"I would reccomend it a lot, just some details to keep in mind, the matchmaking needs work and dont pay attention to the little toxic community",-0.1875,1752881243,True,381210
._.,0.0,1752881000,True,381210
"Think the algorithm for Random Battle is extremely one-sided not in the younger experienced player favor. I believe the game is pitting players that are new to Random by making you the next big target for those senior players. Ranked Battles are very painful to play or survive longer than a minute or so when ships start firing. I never did like PVP in MMOs and it really shows in this game how, without new players being the goat, would loose favor quickly because everyone had overpowered ships they had purchased.",-0.08705749805749807,1752815100,False,552990
great game to play stoned,0.2,1752730386,True,552990
"Almost a great game.
My impression --> The game is quite fun and interesting probably the better of the triage of Wargaming.net games. However, up to level 5 ships can be researched and bought through the players normal grind. At level 6 and above unless you've purchased a DLC that contains a ship above level 5 the game loses its pull for me. Level 6+ ships require Doubloons that never drop and can only be bought. All the fancy ships require currencies that are impossible to acquire without purchasing in-game items. If you don't mind playing below level 6 with the exception of DLC's you will actually enjoy the battles.  Doubloons are the major in-game currency and the caveat being that unless doubloons start dropping the paywall truly separates further progression in play unless you're willing to fork out some serious cash for the really boss ships they offer by buying the in-game currencies.",0.03486842105263157,1752448003,True,552990
代币世界，一坨屎,0.0,1752138955,False,552990
This game I first discovered in PS4. And there is something about war ships that is excellent.,0.2833333333333333,1752104936,True,552990
духота ебаная,0.0,1752866957,False,582660
"Un juego que parece de hace 20 años, hasta los textos se ven mal con calidad en ultra, todo se ve fatal. he intentado mejorar su calidad por todos los medios pero nada",0.0,1752860569,False,582660
chill mmorpg,0.0,1752845927,True,582660
A mecânica do jogo boa muita coisa pra fazer de acordo com estilo de jogo do usuário...,0.0,1752842448,True,582660
"ottimo gioco ma chiedo alla community se ce l'idea di tradurlo o proporre un linguaggio italiano alla casa editrice , grazie.",0.0,1752836688,True,582660
this is gas,0.0,1752880986,True,252490
its amazing,0.6000000000000001,1752880972,True,252490
best game,0.3,1752880256,True,252490
),0.0,1752879740,True,252490
mucho rus9o,0.0,1752879474,False,252490
si,0.0,1752881033,True,2138720
уберите нахуй ибаных егоистов,0.0,1752880706,False,2138720
this game is like football but played with the feet,-0.4,1752880493,True,2138720
just wow\,0.0,1752880050,True,2138720
"O jogo em si é bem legal, porem é repleto de problemas ainda:
-Para um jogo que parece que quer ir para o meio competitivo ele é possui problemas GRAVES na netcode, a bola e/ou jogadores constantemente ficam ""teleportando"" pelo campo, desaparecendo e reaparecendo em outros locais, constantemente jogadores são desconectados da partida por zero motivos, ou você fica preso em lugar.
-O jogo também tem um serio problema com comunicação, simplesmente não tem como você se comunicar com seu time exceto com o comando de ""Passa a bola"", seria bom um sistema de ping ou um chat rápido ou ""roda"" de comando de voz, como por exemplo ""Vai para X"", ""Deixa eu ser goleiro"" e afins.
-As animações desse jogo estão com problemas também, os jogadores fazendo ""A pose"", ""flutuando"" por ae e atravessando o campo nas comemorações (Em casos mais graves, que ja ocorreu comigo algumas vezes os jogadores simplesmente atravessam e ""caem"" do mapa) ou em casos extremamente chatos, especialmente para goleiros é o goleiro realizando a animação de defesa dando a impressão que você vai defender, somente para a bola passar do seu lado e ir para o gol.
-O jogo não salva algumas configurações, como por exemplo de salvar a dublagem para português que por algum motivo o jogo insiste que tu use a dublagem inglês (Que não é muito boa por sinal).
-E algo que me incomoda pessoalmente é o fato que o jogo mal lançou, em um estado não tão boa e já tem 3 (!!!) microtransações FORA os battlepass, o foco dos Devs parece estar em fazer mais itens para microtransação do que de fato em reparar os problemas do jogo. As atualizações que fizeram nos últimos dias sinceramente foram pouca coisa.

Como um todo se você for comprar esse jogo, considera que ele esta em BETA ainda, ainda há vários problemas que estragam uma experiência que poderia ser fantástica. O jogo tem potencial, mas deixa ele cozinhar por um tempinho a mais.",0.390625,1752879519,False,2138720
"Todo conteúdo é muito legal de ser explorado. Além de gráficos lindos, a jogabilidade também é muito satisfatória.",0.2,1752684560,True,2429640
the best game,0.3,1752679952,True,2429640
"Rendu a 70h, je suis vraiment plongé dans ce Throne And Liberty. Avec plus de 4k heures dans Guild Wars (1,2) et on y ressent le même gameplay factory.

En joystick, impressionnant sa va super bien (Manette xbox) et il run super bien sur mon Asus Ally a 60fps!

Moi je suis 99% PVE, donc ce jeu est excellent versus New World que j'aime son crafting et combat mais c'est plus pour les pvp.

Points faible: Ce jeu oui il est ""Cross Plateforme"" sur les mêmes servers (pc, xbox, ps5) mais il n'est PAS ""cross save"" c'est le gros négative je trouve.",0.3143939393939394,1752577237,True,2429640
"its not bad but it will get to the point where you either p2w or you are in a big guild which more than likely has mostly p2w ppl that carry others for $ and most of them are asian servers that started day 1 on US launch when asian servers had launched long before so they got ahead quick...long story short they will control pvp chokes/points and if u aren't in a big guild you'll miss out on gear....similar to Conquer online tbh

this is exactly why alot of asia's multipler games don't do well in the US",0.1708333333333333,1752526271,False,2429640
this piece of garbage ass game. just made me fucking do nightmare mode for over 1 hour just dropped a fucking spear that i dont fucking use.,-0.55,1752522047,False,2429640
"Если есть ощущение что игра хорошая, значит вы играете замутив всех в хлам. Сам так делаю. дота командная игра)) рака мака фо",0.0,1752480603,True,570
THE BEST GAME EVER,0.3,1752155103,True,570
Теперь мой словарный запас не контрится,0.0,1752059491,True,570
"С днём рождения моя любимая игра.
Тебе уже 12 лет но ты также прекрасна как в наш 1 день встречи",0.0,1752050095,True,570
разрабам пох на всё,0.0,1751835994,False,570
Ömrümüzü Yedin BE.,0.0,1488265981,True,389430
Efsaneler Her Zaman Mükemmeldir.,0.0,1488232615,True,389430
Not worth a minute of your time,-0.15,1488227306,False,389430
Merhaba arkadaşlar. Ben charımı gece pazara bırakmıştım sabah kalktıgımda oyun kapalıydı sonra oyuna girdim üzerindeki 17 gb yoktu:S Lütfen bi yardımcı olurmusunuz,0.0,1488217926,True,389430
harika bir oyun,0.0,1488180309,True,389430
Took away content I paid for. Would not recommend.,0.0,1752881183,False,1085660
Scumbag spyware. Grow the fuck up. Needing Battleye as your anti-cheat is a skill issue.,-0.4,1752875442,False,1085660
Robbery in daylight.,0.0,1752874450,False,1085660
Enjoyed a lot of years of this game. After returning to check out The Edge of Fate my  game just keeps freezing and crashing withing 45 minutes. I have yet to finish the first mission... New BIOS drivers. Frame rate capping. Latest GPU drivers. Fresh install of windows. Nothing fixes it. and there are no knows fixes online. Cannot give this a good review at this point.,0.19829545454545452,1752874412,False,1085660
hh,0.0,1752873902,True,1085660
原本以为是开始，现在发现才早已是巅峰,0.0,1717034498,True,2596440
damn...no talking grill friend no more :c,-0.5,1707272085,True,2596440
мой отчим меня не любит,0.0,1706716161,False,2596440
Comprei esse cocô e não consigo subir nível do passe,0.0,1706205972,False,2596440
MAN THIS IS ABSOLUTELY OVERPRICED!🔥🔥🔥🔥,0.2,1706180734,True,2596440
this game sucks and i love it,-0.06666666666666665,1752688287,True,1172470
至少这四百多小时里有一半是有好玩的,0.0,1752492926,True,1172470
"Just like me, this game is gay, but I love being gay",0.23333333333333334,1752419657,True,1172470
Good Shit!,0.22499999999999998,1751979827,True,1172470
Never in my life will I play a game where I say oh my god we got thirded and then the next game say quick lets go third that. This game brings out a sort of primal rage in me I didnt quite realise I had. I will still continue to play though for those few and far in between dopamine hits,-0.12083333333333333,1751509497,False,1172470
just buy it.,0.0,1752880364,True,294100
best game ever,0.3,1752879359,True,294100
I like to play a mad doctor and kidnap folks and turn them into robots.,-0.625,1752879277,True,294100
